NAMESPACE       NAME                                      TYPE           CLUSTER-IP    EXTERNAL-IP       PORT(S)                        AGE
argocd          argocd-applicationset-controller          ClusterIP      10.3.73.133   <none>            7000/TCP,8080/TCP              269d
argocd          argocd-dex-server                         ClusterIP      10.3.73.164   <none>            5556/TCP,5557/TCP,5558/TCP     269d
argocd          argocd-metrics                            ClusterIP      10.3.73.200   <none>            8082/TCP                       269d
argocd          argocd-notifications-controller-metrics   ClusterIP      10.3.73.51    <none>            9001/TCP                       269d
argocd          argocd-redis                              ClusterIP      10.3.72.176   <none>            6379/TCP                       269d
argocd          argocd-repo-server                        ClusterIP      10.3.73.224   <none>            8081/TCP,8084/TCP              269d
argocd          argocd-server                             ClusterIP      10.3.72.119   <none>            80/TCP,443/TCP                 269d
argocd          argocd-server-metrics                     ClusterIP      10.3.73.124   <none>            8083/TCP                       269d
cert-manager    cert-manager                              ClusterIP      10.3.72.222   <none>            9402/TCP                       263d
cert-manager    cert-manager-cainjector                   ClusterIP      10.3.73.218   <none>            9402/TCP                       6d11h
cert-manager    cert-manager-webhook                      ClusterIP      10.3.73.20    <none>            443/TCP,9402/TCP               263d
default         kubernetes                                ClusterIP      10.3.72.1     <none>            443/TCP                        448d
default         metabase                                  ClusterIP      10.3.73.161   <none>            80/TCP                         444d
external-dns    external-dns                              ClusterIP      10.3.73.125   <none>            7979/TCP                       260d
gateway-demo    echo                                      ClusterIP      10.3.73.70    <none>            80/TCP                         8d
ingress-nginx   ingress-nginx-controller                  LoadBalancer   10.3.72.109   48.217.210.166    80:32287/TCP,443:30166/TCP     448d
ingress-nginx   ingress-nginx-controller-admission        ClusterIP      10.3.73.138   <none>            443/TCP                        448d
kafka           kafka                                     ClusterIP      10.3.72.189   <none>            9092/TCP                       18d
kafka           kafka-broker-headless                     ClusterIP      None          <none>            9094/TCP,9092/TCP              18d
kafka           kafka-zookeeper                           ClusterIP      10.3.73.128   <none>            2181/TCP,2888/TCP,3888/TCP     18d
kafka           kafka-zookeeper-headless                  ClusterIP      None          <none>            2181/TCP,2888/TCP,3888/TCP     18d
kube-system     azure-wi-webhook-webhook-service          ClusterIP      10.3.72.145   <none>            443/TCP                        224d
kube-system     externaldns-external-dns                  ClusterIP      10.3.72.105   <none>            7979/TCP                       267d
kube-system     kube-dns                                  ClusterIP      10.3.72.10    <none>            53/UDP,53/TCP                  448d
kube-system     metrics-server                            ClusterIP      10.3.73.10    <none>            443/TCP                        448d
kube-system     npm-metrics-cluster-service               ClusterIP      10.3.73.86    <none>            9000/TCP                       448d
kube-system     prometheus-stack-kube-prom-kubelet        ClusterIP      None          <none>            10250/TCP,10255/TCP,4194/TCP   237d
llms-server     llms-service                              ClusterIP      10.3.73.21    <none>            80/TCP                         220d
loki            loki-canary                               ClusterIP      10.3.73.140   <none>            3500/TCP                       224d
loki            loki-chunks-cache                         ClusterIP      None          <none>            11211/TCP,9150/TCP             224d
loki            loki-compactor                            ClusterIP      10.3.73.204   <none>            3100/TCP,9095/TCP              224d
loki            loki-distributor                          ClusterIP      10.3.73.78    <none>            3100/TCP,9095/TCP              224d
loki            loki-distributor-headless                 ClusterIP      None          <none>            3100/TCP,9095/TCP              224d
loki            loki-gateway                              LoadBalancer   10.3.72.221   4.157.196.164     80:30695/TCP                   224d
loki            loki-index-gateway                        ClusterIP      10.3.73.246   <none>            3100/TCP,9095/TCP              224d
loki            loki-index-gateway-headless               ClusterIP      None          <none>            3100/TCP,9095/TCP              224d
loki            loki-ingester                             ClusterIP      10.3.73.202   <none>            3100/TCP,9095/TCP              224d
loki            loki-ingester-headless                    ClusterIP      None          <none>            3100/TCP,9095/TCP              224d
loki            loki-memberlist                           ClusterIP      None          <none>            7946/TCP                       224d
loki            loki-querier                              ClusterIP      10.3.72.135   <none>            3100/TCP,9095/TCP              224d
loki            loki-query-frontend                       ClusterIP      10.3.73.192   <none>            3100/TCP,9095/TCP,9096/TCP     224d
loki            loki-query-frontend-headless              ClusterIP      None          <none>            3100/TCP,9095/TCP,9096/TCP     224d
loki            loki-query-scheduler                      ClusterIP      None          <none>            3100/TCP,9095/TCP              224d
loki            loki-results-cache                        ClusterIP      None          <none>            11211/TCP,9150/TCP             224d
